Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
1,2,2000000000,100,5.792138,65.000730,203.880590,2.785011,282.743641
2,2,2000000000,100,5.750664,63.881594,214.009824,2.781049,291.712831
3,2,2000000000,100,5.789249,64.451241,214.246364,2.791535,292.562911
4,2,2000000000,100,5.792614,65.223749,213.638544,2.786548,292.726498
5,2,2000000000,100,5.762902,64.202128,214.887723,2.789440,292.925076
6,2,2000000000,100,5.761731,64.010682,214.013271,2.775719,291.838594
7,2,2000000000,100,5.762282,64.398672,211.603270,2.769990,289.813530
8,2,2000000000,100,5.762736,63.015040,215.698490,2.791085,292.555801
9,2,2000000000,100,5.764175,63.526043,213.688372,2.782909,291.050954
10,2,2000000000,100,5.775187,63.997498,211.608862,2.788725,289.461095
1,4,2000000000,100,2.904269,100.909869,109.020413,1.466970,219.649556
2,4,2000000000,100,2.902497,95.121111,108.823397,1.508956,213.696582
3,4,2000000000,100,2.901122,101.337413,109.370149,1.463369,220.410916
4,4,2000000000,100,2.900831,101.960726,108.077357,1.488768,219.765535
5,4,2000000000,100,2.898737,99.896394,108.116972,1.472556,217.721102
6,4,2000000000,100,2.938183,99.795684,109.887924,1.481073,219.443979
7,4,2000000000,100,2.893622,99.775036,109.772767,1.478157,219.260892
8,4,2000000000,100,2.900242,100.325996,109.288066,1.426459,219.282679
9,4,2000000000,100,2.894346,100.367492,108.298605,1.460206,218.359616
10,4,2000000000,100,2.937912,99.394332,108.462337,1.423609,217.559839
1,6,2000000000,100,1.940823,77.491004,75.477803,0.982297,161.225225
2,6,2000000000,100,1.933434,72.173106,75.301458,1.015154,155.766057
3,6,2000000000,100,1.941859,78.432570,75.739211,1.019986,162.482183
4,6,2000000000,100,1.939646,77.732086,75.546534,1.019500,161.571040
5,6,2000000000,100,1.940525,76.405741,74.686972,1.027918,159.393166
6,6,2000000000,100,1.938002,76.483510,74.872680,1.012235,159.642745
7,6,2000000000,100,1.934340,77.355872,75.166571,0.983621,160.785348
8,6,2000000000,100,1.937253,76.772887,75.519800,1.024178,160.593375
9,6,2000000000,100,1.936060,76.544083,75.534765,1.019223,160.369375
10,6,2000000000,100,1.940890,77.036028,75.172560,1.017023,160.498362
1,8,2000000000,100,1.456744,64.604632,58.198477,0.792459,130.394289
2,8,2000000000,100,1.455032,60.217358,57.648097,0.778099,125.436909
3,8,2000000000,100,1.455249,64.925646,57.978839,0.778559,130.476766
4,8,2000000000,100,1.473122,65.147066,57.973468,0.800730,130.734238
5,8,2000000000,100,1.456465,64.014234,58.202203,0.781046,129.883819
6,8,2000000000,100,1.456010,64.360436,58.042646,0.775908,129.974769
7,8,2000000000,100,1.454149,64.509147,58.067603,0.798587,130.167634
8,8,2000000000,100,1.454692,65.165284,58.164648,0.779477,130.906107
9,8,2000000000,100,1.456082,64.482494,58.070872,0.784805,130.142934
10,8,2000000000,100,1.455752,64.211802,58.121691,0.787956,129.915488
1,10,2000000000,100,1.169013,56.109740,44.784311,0.621497,108.029407
2,10,2000000000,100,1.166663,52.288233,44.693201,0.613156,104.102950
3,10,2000000000,100,1.168132,56.936493,44.764109,0.622591,108.827891
4,10,2000000000,100,1.167127,57.006964,44.734338,0.629021,108.876374
5,10,2000000000,100,1.168952,55.911621,44.602483,0.629415,107.647122
6,10,2000000000,100,1.167721,56.681473,44.762456,0.635097,108.583105
7,10,2000000000,100,1.184243,57.338171,44.726216,0.626212,109.210822
8,10,2000000000,100,1.185135,56.457147,44.740474,0.628245,108.351223
9,10,2000000000,100,1.172363,56.155550,44.669065,0.621886,107.955841
10,10,2000000000,100,1.166258,56.581100,44.769092,0.629126,108.480675
1,12,2000000000,100,0.976157,50.749889,40.431399,0.570180,98.069552
2,12,2000000000,100,0.974868,47.694175,40.568907,0.561658,95.139553
3,12,2000000000,100,0.975827,50.703647,40.490401,0.573091,98.081864
