Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
1,1,1000000000,10000000,5.765560,54.016945,83.897065,3.802469,147.553144
2,1,1000000000,10000000,5.774931,53.853724,83.886280,3.807233,147.392584
3,1,1000000000,10000000,5.791689,53.879086,83.876623,3.804153,147.424086
4,1,1000000000,10000000,5.825869,55.348677,83.878316,3.802048,148.927094
5,1,1000000000,10000000,5.783801,57.358897,83.954967,3.816439,150.986265
6,1,1000000000,10000000,5.799999,56.277666,83.930449,3.814528,149.893911
7,1,1000000000,10000000,5.770932,53.731886,83.876752,3.802359,147.252093
8,1,1000000000,10000000,5.780017,56.034691,83.914946,3.811064,149.611310
9,1,1000000000,10000000,5.794391,56.972676,83.950246,3.817882,150.608104
10,1,1000000000,10000000,5.795314,58.089619,83.976003,3.825067,151.757430
