Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
1,2,1000000000,10000000,2.895888,36.462401,41.794438,1.960958,85.789353
2,2,1000000000,10000000,2.891650,37.005480,41.799491,1.965318,86.340010
3,2,1000000000,10000000,2.934762,36.707906,41.801544,1.963255,86.085348
4,2,1000000000,10000000,2.919960,37.102171,41.783546,1.960033,86.444527
5,2,1000000000,10000000,2.911413,35.386790,41.786829,1.958486,84.718893
6,2,1000000000,10000000,2.910339,36.559722,41.790091,1.960428,85.899392
7,2,1000000000,10000000,2.910203,35.721982,41.773555,1.956573,85.037164
8,2,1000000000,10000000,2.920927,37.514053,41.808559,1.961818,86.925454
9,2,1000000000,10000000,2.936102,37.397377,41.813498,1.965258,86.794281
10,2,1000000000,10000000,2.924251,36.453819,41.790367,1.962684,85.801502
1,4,1000000000,10000000,1.451109,24.213728,21.089502,1.135549,50.575531
2,4,1000000000,10000000,1.455605,23.836338,20.944073,1.137826,50.062689
3,4,1000000000,10000000,1.449082,27.880520,20.994187,1.115424,54.124964
4,4,1000000000,10000000,1.446047,23.954221,21.095356,1.059068,50.242155
5,4,1000000000,10000000,1.449113,23.779862,21.091206,1.145625,50.151324
6,4,1000000000,10000000,1.456040,28.263821,20.942707,1.130482,54.480762
7,4,1000000000,10000000,1.455519,24.210054,20.995901,1.136211,50.485374
8,4,1000000000,10000000,1.457924,29.347211,20.988165,1.140128,55.618550
9,4,1000000000,10000000,1.450852,23.989814,20.940427,1.128277,50.198001
10,4,1000000000,10000000,1.461394,25.017328,20.993708,1.137689,51.294148
1,6,1000000000,10000000,0.973279,20.874120,13.981062,0.816167,39.323592
2,6,1000000000,10000000,0.974235,21.153302,14.004866,0.800511,39.613767
3,6,1000000000,10000000,0.972315,20.619701,13.994592,0.801539,39.068382
4,6,1000000000,10000000,0.973627,20.731057,14.075141,0.803624,39.263625
5,6,1000000000,10000000,0.974284,20.840598,13.981117,0.810883,39.285167
6,6,1000000000,10000000,0.971874,21.373692,14.066067,0.806966,39.903919
7,6,1000000000,10000000,0.973410,20.448683,14.077246,0.811298,38.991755
8,6,1000000000,10000000,0.984978,22.222634,13.978110,0.781425,40.645673
9,6,1000000000,10000000,0.986790,21.133288,14.068507,0.798273,39.670785
10,6,1000000000,10000000,0.976191,21.633025,13.984030,0.818841,40.088808
1,8,1000000000,10000000,0.731609,19.035776,10.557451,0.634969,33.639103
2,8,1000000000,10000000,0.731317,19.201711,10.488168,0.630828,33.735478
3,8,1000000000,10000000,0.731313,18.914195,10.500493,0.635426,33.458619
4,8,1000000000,10000000,0.731242,17.808075,10.510795,0.626038,32.355179
5,8,1000000000,10000000,0.730741,18.360683,10.562400,0.628433,33.020902
6,8,1000000000,10000000,0.730672,18.004101,10.558039,0.618382,32.589646
7,8,1000000000,10000000,0.730782,18.661553,10.554903,0.627482,33.261571
8,8,1000000000,10000000,0.731253,18.345468,10.502869,0.608577,32.864554
9,8,1000000000,10000000,0.731473,18.825348,10.552460,0.627854,33.418181
10,8,1000000000,10000000,0.740891,18.465150,10.502188,0.638337,33.022313
1,10,1000000000,10000000,0.586806,17.232417,8.405018,0.526602,29.427462
2,10,1000000000,10000000,0.587276,16.498356,8.393321,0.544456,28.699123
3,10,1000000000,10000000,0.586191,16.627401,8.442808,0.570621,28.901311
4,10,1000000000,10000000,0.594216,17.005392,8.451610,0.593932,29.320867
5,10,1000000000,10000000,0.586295,16.888351,8.402941,0.533200,29.087065
6,10,1000000000,10000000,0.587155,16.573711,8.401461,0.544938,28.783334
7,10,1000000000,10000000,0.586482,16.188471,8.396381,0.543131,28.392348
8,10,1000000000,10000000,0.586628,16.248750,8.404176,0.546960,28.460189
9,10,1000000000,10000000,0.586770,16.666091,8.406993,0.526837,28.865023
10,10,1000000000,10000000,0.587734,16.819602,8.397219,0.542731,29.022108
1,12,1000000000,10000000,0.490421,15.857782,7.037424,0.525103,26.588510
2,12,1000000000,10000000,0.489750,15.899917,7.004326,0.528946,26.598801
3,12,1000000000,10000000,0.495764,15.708656,7.005790,0.479786,26.366359
4,12,1000000000,10000000,0.490655,15.978496,6.999855,0.469916,26.614342
5,12,1000000000,10000000,0.494449,15.658900,6.994059,0.491372,26.314049
6,12,1000000000,10000000,0.489777,15.782464,7.009958,0.484720,26.442865
7,12,1000000000,10000000,0.489542,15.386152,7.041204,0.525369,26.116554
8,12,1000000000,10000000,0.489742,15.580005,7.002425,0.461395,26.207092
9,12,1000000000,10000000,0.490141,15.303752,7.037081,0.516270,26.026338
10,12,1000000000,10000000,0.496113,15.621771,7.002648,0.506401,26.299324
1,14,1000000000,10000000,0.421886,14.476349,6.006583,0.448544,24.028665
2,14,1000000000,10000000,0.422795,14.826766,6.036458,0.468660,24.432226
3,14,1000000000,10000000,0.420828,14.292513,6.004393,0.427307,23.818794
4,14,1000000000,10000000,0.422082,14.433436,6.037773,0.487203,24.055400
5,14,1000000000,10000000,0.421083,13.775315,6.001954,0.483230,23.358811
6,14,1000000000,10000000,0.421116,14.383870,6.010833,0.455500,23.947116
7,14,1000000000,10000000,0.421189,14.603420,6.000161,0.492139,24.191240
8,14,1000000000,10000000,0.421350,14.397514,6.004271,0.474667,23.970655
9,14,1000000000,10000000,0.421515,14.888462,6.002015,0.473672,24.463495
10,14,1000000000,10000000,0.421765,14.550144,6.034768,0.474970,24.153502
1,16,1000000000,10000000,0.369287,13.912610,5.255408,0.401409,22.616342
2,16,1000000000,10000000,0.371991,13.893207,5.254019,0.406117,22.602654
3,16,1000000000,10000000,0.369352,13.510659,5.282241,0.403433,22.238918
4,16,1000000000,10000000,0.369299,13.921491,5.251236,0.433897,22.652576
5,16,1000000000,10000000,0.369196,13.645351,5.280284,0.467796,22.441903
6,16,1000000000,10000000,0.369044,14.117266,5.284864,0.437673,22.886133
7,16,1000000000,10000000,0.369568,13.865305,5.282838,0.414142,22.611121
8,16,1000000000,10000000,0.369682,13.280961,5.278762,0.447806,22.050601
9,16,1000000000,10000000,0.369540,13.894092,5.253292,0.441510,22.635483
10,16,1000000000,10000000,0.369435,13.448151,5.255094,0.441567,22.188399
1,18,1000000000,10000000,0.329322,13.227638,4.671033,0.385354,21.290110
2,18,1000000000,10000000,0.329541,13.315862,4.674033,0.450500,21.443546
3,18,1000000000,10000000,0.329404,13.258247,4.671447,0.438643,21.371159
4,18,1000000000,10000000,0.329849,13.314807,4.672592,0.458322,21.451120
5,18,1000000000,10000000,0.329415,13.462206,4.696696,0.423013,21.584776
6,18,1000000000,10000000,0.329419,13.220609,4.671795,0.440001,21.407455
7,18,1000000000,10000000,0.329128,13.204303,4.672756,0.401951,21.279113
8,18,1000000000,10000000,0.329641,13.150316,4.694193,0.458331,21.304934
9,18,1000000000,10000000,0.329342,12.867164,4.673338,0.430162,20.976068
10,18,1000000000,10000000,0.329500,13.217624,4.673733,0.420359,21.314886
1,20,1000000000,10000000,0.297277,12.299641,4.203386,0.373579,19.851934
2,20,1000000000,10000000,0.296892,12.589118,4.199769,0.417729,20.185363
3,20,1000000000,10000000,0.300583,12.753746,4.225457,0.397024,20.349879
4,20,1000000000,10000000,0.297457,12.886072,4.226234,0.379159,20.527290
5,20,1000000000,10000000,0.297497,13.017339,4.203556,0.406177,20.601287
6,20,1000000000,10000000,0.297374,13.034211,4.206198,0.379971,20.593214
7,20,1000000000,10000000,0.296830,12.933446,4.227781,0.420058,20.552248
8,20,1000000000,10000000,0.300454,12.178881,4.203346,0.386127,19.741218
9,20,1000000000,10000000,0.297261,12.723243,4.206921,0.396259,20.300510
10,20,1000000000,10000000,0.297862,12.387704,4.228081,0.381895,19.970813
1,22,1000000000,10000000,0.272018,11.871209,3.824215,0.376813,19.019750
2,22,1000000000,10000000,0.270971,12.302029,3.821496,0.366993,19.444117
3,22,1000000000,10000000,0.271568,12.028194,3.823603,0.352045,19.147296
4,22,1000000000,10000000,0.271269,12.476928,3.822901,0.394895,19.640186
5,22,1000000000,10000000,0.270610,12.490172,3.844679,0.388770,19.666723
