Type,Size,Time,Node
Sequential,1GB,5159.05,Primary
Sequential,1GB,5727.75,Primary
Sequential,10GB,45108.1,Primary
Sequential,10GB,45111.5,Primary
Sequential,20GB,87879.6,Primary
Sequential,20GB,91517.8,Primary
Parallel,1GB,50489,xlarge
Parallel,1GB,46686,xlarge
Parallel,10GB,379402,xlarge
Parallel,10GB,375429,xlarge
Parallel,20GB,738307,xlarge
Parallel,20GB,713304,xlarge
Parallel,1GB,52340,2xlarge
Parallel,1GB,50593,2xlarge
Parallel,10GB,356170,2xlarge
Parallel,10GB,358402,2xlarge
Parallel,20GB,715758,2xlarge
Parallel,20GB,721646,2xlarge
