Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
1,2,1000000000,10000000,2.887887,79.333238,37.315782,1.962453,124.175072
2,2,1000000000,10000000,2.885258,84.076903,37.222818,1.968851,128.832253
3,2,1000000000,10000000,2.887769,84.194458,37.219377,1.969251,128.946737
4,2,1000000000,10000000,2.878393,64.123935,37.793441,1.963501,109.434762
5,2,1000000000,10000000,2.887167,65.377181,37.913556,1.963726,110.817774
6,2,1000000000,10000000,2.888146,66.196848,37.917209,1.966199,111.645905
7,2,1000000000,10000000,2.885740,81.167868,37.289708,1.963035,125.979776
8,2,1000000000,10000000,2.897647,78.375734,37.360880,1.967499,123.278774
9,2,1000000000,10000000,2.888167,66.936499,37.914937,1.969125,112.388723
10,2,1000000000,10000000,2.901430,66.429074,37.920094,1.968975,111.889548
1,4,1000000000,10000000,1.452011,46.981171,19.142562,1.130015,71.390662
2,4,1000000000,10000000,1.450464,47.710719,19.149988,1.126699,72.124827
3,4,1000000000,10000000,1.451037,44.598890,19.147096,1.134077,69.016903
4,4,1000000000,10000000,1.451653,45.006893,19.161174,1.131189,69.437622
5,4,1000000000,10000000,1.449248,46.563618,19.156870,1.127426,70.983102
6,4,1000000000,10000000,1.451069,46.913479,19.139399,1.134638,71.326285
7,4,1000000000,10000000,1.451775,44.299681,19.150802,1.139661,68.733907
8,4,1000000000,10000000,1.453272,47.317639,19.142734,1.117223,71.714949
9,4,1000000000,10000000,1.475845,44.279449,19.149218,1.141527,68.740451
10,4,1000000000,10000000,1.456006,45.789248,19.170086,1.131667,70.229491
1,6,1000000000,10000000,0.970818,29.921106,12.757081,0.824683,47.154665
2,6,1000000000,10000000,0.968743,32.044771,12.780837,0.799165,49.277713
3,6,1000000000,10000000,0.969125,29.878997,12.757406,0.795905,47.078825
4,6,1000000000,10000000,0.969878,31.152456,12.774445,0.790384,48.366658
5,6,1000000000,10000000,0.970986,29.849772,12.764332,0.804862,47.067964
6,6,1000000000,10000000,0.968226,30.920235,12.773879,0.777492,48.126492
7,6,1000000000,10000000,0.969073,29.806410,12.756856,0.808423,47.021732
8,6,1000000000,10000000,0.970538,29.790559,12.753541,0.818775,47.011455
9,6,1000000000,10000000,0.971061,29.808723,12.763825,0.800115,47.026570
10,6,1000000000,10000000,0.972926,30.054998,12.754977,0.809498,47.269516
1,8,1000000000,10000000,0.729578,22.450499,9.567736,0.626005,36.054174
2,8,1000000000,10000000,0.728665,22.565057,9.569502,0.631344,36.173839
3,8,1000000000,10000000,0.728955,22.435520,9.561681,0.623197,36.032908
4,8,1000000000,10000000,0.728882,22.265010,9.561611,0.616858,35.849243
5,8,1000000000,10000000,0.728613,22.398112,9.564812,0.620174,35.989732
6,8,1000000000,10000000,0.729384,22.309920,9.561686,0.627713,35.911654
7,8,1000000000,10000000,0.728821,22.552290,9.563882,0.630655,36.154826
8,8,1000000000,10000000,0.728821,22.369955,9.561441,0.631381,35.968731
9,8,1000000000,10000000,0.729305,22.545645,9.566535,0.624512,36.146109
10,8,1000000000,10000000,0.729508,22.587522,9.570686,0.629796,36.192051
1,10,1000000000,10000000,0.585903,18.118509,7.652257,0.536734,29.570436
2,10,1000000000,10000000,0.594045,18.077034,7.655096,0.536321,29.542332
3,10,1000000000,10000000,0.586957,18.412532,7.651352,0.542784,29.868405
4,10,1000000000,10000000,0.585736,18.092181,7.651173,0.526925,29.533991
5,10,1000000000,10000000,0.584248,18.892907,7.651352,0.530981,30.334936
6,10,1000000000,10000000,0.584125,17.993947,7.648196,0.533630,29.438821
7,10,1000000000,10000000,0.592971,18.071029,7.652519,0.530883,29.522006
8,10,1000000000,10000000,0.584508,18.028382,7.652422,0.531843,29.471970
