Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
1,2,2000000000,100,5.803788,72.361864,209.580451,2.734545,295.767026
2,2,2000000000,100,5.758810,70.642931,206.905961,2.731018,291.328631
3,2,2000000000,100,5.802639,73.057358,213.964291,2.734672,300.852303
4,2,2000000000,100,5.803232,72.532319,216.142653,2.737313,302.499832
5,2,2000000000,100,5.779286,72.684204,215.637641,2.734104,302.121672
6,2,2000000000,100,5.774632,70.324133,210.569260,2.723168,294.667188
7,2,2000000000,100,5.775332,71.722054,215.003522,2.719366,300.499750
8,2,2000000000,100,5.777812,70.644338,215.940550,2.735326,300.386661
9,2,2000000000,100,5.783204,71.628329,213.118822,2.744153,298.566450
10,2,2000000000,100,5.784514,72.949697,214.114338,2.725019,300.854202
1,4,2000000000,100,2.912966,126.261193,109.549136,1.450654,245.517644
2,4,2000000000,100,2.905172,116.452928,109.833263,1.460073,235.991034
3,4,2000000000,100,2.906261,125.313635,109.091058,1.439708,244.087895
4,4,2000000000,100,2.905924,127.726385,109.555243,1.459765,246.984557
5,4,2000000000,100,2.906579,122.352083,108.948271,1.398138,240.941423
6,4,2000000000,100,2.904632,125.135126,110.319548,1.433282,245.131962
7,4,2000000000,100,2.903536,125.399148,109.442911,1.448471,244.536429
8,4,2000000000,100,2.907199,128.437287,109.295333,1.438298,247.418944
9,4,2000000000,100,2.906410,124.012845,109.725956,1.453728,243.438523
10,4,2000000000,100,2.904927,127.907775,109.021512,1.435636,246.605505
1,6,2000000000,100,1.945993,104.352394,75.851986,0.996678,188.482848
2,6,2000000000,100,1.963503,92.117949,75.159747,1.019964,175.603911
3,6,2000000000,100,1.944275,102.498847,75.426362,1.015228,186.230062
4,6,2000000000,100,1.942222,102.691630,75.812303,1.003384,186.784594
5,6,2000000000,100,1.945005,98.632641,75.531857,1.002665,182.441681
6,6,2000000000,100,1.942530,102.224513,75.510924,0.999057,186.013115
7,6,2000000000,100,1.939122,101.979468,75.565923,1.004836,185.824650
8,6,2000000000,100,1.940925,103.002645,75.490569,0.961941,186.734477
9,6,2000000000,100,1.939642,100.924023,75.305413,0.999662,184.505120
10,6,2000000000,100,1.944170,101.202944,75.564394,1.001748,185.044043
1,8,2000000000,100,1.460225,88.732903,58.032428,0.763687,154.338690
2,8,2000000000,100,1.457868,78.283432,57.998194,0.768777,143.848059
3,8,2000000000,100,1.459353,88.837920,58.267942,0.769165,154.691084
4,8,2000000000,100,1.457125,88.120084,58.166968,0.776653,153.857711
5,8,2000000000,100,1.459757,85.824571,58.076557,0.785851,151.485071
6,8,2000000000,100,1.459266,85.746219,58.304521,0.761131,151.696631
7,8,2000000000,100,1.458248,86.437998,58.133828,0.769920,152.144635
8,8,2000000000,100,1.459513,88.161598,57.847598,0.780282,153.589384
9,8,2000000000,100,1.458406,87.169049,58.295911,0.760443,153.021436
10,8,2000000000,100,1.457083,88.094312,57.939882,0.776540,153.606328
1,10,2000000000,100,1.171771,77.474941,44.974526,0.624557,129.594830
2,10,2000000000,100,1.174268,70.662665,44.969286,0.617200,122.762253
3,10,2000000000,100,1.186125,77.842899,44.703723,0.616508,129.794783
4,10,2000000000,100,1.169211,77.624089,44.917876,0.622532,129.670981
5,10,2000000000,100,1.171082,77.351780,44.901783,0.623555,129.387873
6,10,2000000000,100,1.171060,76.791682,45.062618,0.625140,128.999460
7,10,2000000000,100,1.170361,77.664397,44.886677,0.631060,129.688787
8,10,2000000000,100,1.186249,76.734836,44.756669,0.627464,128.653684
9,10,2000000000,100,1.169215,76.332796,44.825972,0.615439,128.278727
10,10,2000000000,100,1.174444,77.383650,44.713328,0.623060,129.327158
1,12,2000000000,100,0.977868,70.904088,40.556034,0.554954,118.334292
2,12,2000000000,100,0.977888,64.202626,40.489120,0.526712,111.534820
3,12,2000000000,100,0.977334,71.040225,40.558429,0.563871,118.477658
4,12,2000000000,100,0.990099,71.883957,40.318012,0.564699,119.101103
5,12,2000000000,100,0.979722,69.811332,40.564418,0.543935,117.242761
6,12,2000000000,100,0.978778,70.266585,40.569520,0.540518,117.693028
7,12,2000000000,100,0.976482,70.226772,40.624230,0.545004,117.713769
8,12,2000000000,100,0.980189,69.935148,40.579822,0.555700,117.397435
9,12,2000000000,100,0.977260,69.643228,40.321262,0.551596,116.831856
10,12,2000000000,100,0.977068,70.549610,40.587487,0.558924,118.021597
1,14,2000000000,100,0.841310,65.399235,35.938930,0.526531,108.041325
2,14,2000000000,100,0.839491,59.585797,35.885544,0.479993,102.131234
3,14,2000000000,100,0.848627,65.451488,35.999644,0.494459,108.132301
4,14,2000000000,100,0.841498,65.600258,35.839957,0.484231,108.106535
5,14,2000000000,100,0.840542,65.026502,35.719915,0.524371,107.449599
6,14,2000000000,100,0.839495,65.173091,35.851343,0.495818,107.698214
7,14,2000000000,100,0.848947,65.492675,35.919069,0.516249,108.114708
8,14,2000000000,100,0.840587,65.308956,35.989865,0.526333,108.005546
9,14,2000000000,100,0.841133,65.006578,35.620614,0.495577,107.302194
10,14,2000000000,100,0.839674,66.076071,35.780348,0.524159,108.558934
1,16,2000000000,100,0.736810,62.820647,31.511246,0.464740,100.873847
2,16,2000000000,100,0.737286,56.847887,31.430972,0.463717,94.818333
3,16,2000000000,100,0.737124,62.393670,31.399203,0.464268,100.332695
4,16,2000000000,100,0.744937,63.025166,31.462789,0.469428,101.040325
5,16,2000000000,100,0.737405,61.691159,31.515442,0.482667,99.771186
6,16,2000000000,100,0.736120,61.819372,31.435091,0.476444,99.808539
7,16,2000000000,100,0.745835,61.123162,31.505557,0.479360,99.206069
8,16,2000000000,100,0.736701,61.751675,31.395984,0.440311,99.666501
9,16,2000000000,100,0.736653,61.584217,31.580128,0.443643,99.682036
10,16,2000000000,100,0.737593,62.302806,31.430696,0.468571,100.278021
1,18,2000000000,100,0.666091,59.167122,27.139796,0.469308,92.781298
2,18,2000000000,100,0.660882,54.144494,27.147162,0.443136,87.738007
3,18,2000000000,100,0.657448,59.780972,27.182805,0.460723,93.418061
4,18,2000000000,100,0.657453,59.096878,27.153969,0.432987,92.680471
5,18,2000000000,100,0.658001,58.994300,27.137070,0.428856,92.554662
